study_hours,attendance_percent,assignment_score,sleep_hours,previous_score,participation_score,final_score
6,88,54,6.3,38,3,40.81
6,82,46,6.5,35,2,39.73
5,60,77,5.1,85,2,43.59
9,63,54,4.9,92,5,39.53
3,78,92,7.5,44,5,44.66
10,89,67,7.4,79,3,60.59
4,93,40,7.5,67,3,40.75
6,77,98,4.6,39,2,40.45
6,72,71,6.0,90,8,47.87
9,99,56,5.4,88,3,48.28
5,78,81,8.0,69,10,42.4
3,72,72,8.4,78,6,53.07
1,78,41,5.6,59,9,36.19
4,60,86,7.5,83,7,41.72
9,72,64,5.1,62,3,46.49
1,81,82,5.7,95,7,51.3
9,97,94,5.1,38,3,41.73
6,90,77,5.8,45,2,53.63
2,92,80,7.5,94,3,55.58
4,82,55,8.6,52,3,43.83
6,64,54,5.4,53,2,44.07
4,76,65,6.9,83,1,45.79
2,100,92,7.7,46,10,51.81
7,61,71,8.8,66,6,42.28
7,96,61,7.2,52,5,49.11
2,88,87,5.6,47,10,48.22
3,71,92,7.3,93,3,50.56
3,91,95,5.9,47,5,44.14
7,94,58,8.9,40,9,47.62
8,61,83,6.3,76,7,44.94
8,64,76,7.6,87,4,40.71
10,87,67,4.6,42,3,33.9
8,100,64,6.3,78,1,51.44
4,60,46,8.4,67,1,26.33
2,87,56,7.2,85,2,46.67
7,65,73,6.5,42,8,38.58
10,86,94,8.7,94,7,64.15
10,85,92,8.3,72,5,51.64
3,63,51,5.9,86,8,42.57
3,87,81,7.0,57,2,45.28
1,96,45,6.7,92,3,45.66
2,95,81,7.3,73,4,54.37
6,61,60,6.0,42,10,34.79
6,70,67,5.6,91,7,49.02
4,69,83,8.6,83,9,45.19
4,78,65,8.7,53,3,46.68
9,65,89,8.3,68,9,54.28
5,95,72,8.9,58,1,53.69
9,91,100,7.9,68,3,64.83
10,93,78,7.9,93,6,50.79
4,68,58,7.9,89,1,37.49
3,60,87,6.7,48,9,37.72
10,97,64,6.6,94,9,54.5
7,71,72,5.6,61,6,44.75
3,86,48,7.4,77,4,44.41
7,97,47,5.8,81,1,38.73
6,61,75,5.7,64,7,45.14
10,60,51,7.1,62,6,33.39
3,60,100,6.3,62,8,51.54
10,66,92,5.5,87,7,62.44
10,62,82,8.2,58,2,48.21
2,93,84,8.4,52,2,53.18
2,84,76,5.3,57,8,41.07
6,100,43,4.5,46,2,29.52
1,92,63,6.0,58,10,40.71
3,99,70,8.1,41,2,42.03
5,69,95,8.3,40,8,40.47
10,71,53,5.1,79,10,49.48
10,94,70,8.0,39,5,49.38
2,70,60,5.0,69,1,40.22
9,62,48,6.3,82,9,38.6
1,87,46,9.0,79,2,44.86
8,92,62,5.4,62,6,49.08
9,99,45,5.2,46,10,40.94
9,98,44,6.4,91,8,49.53
3,64,61,7.3,85,1,41.71
9,91,52,8.7,72,9,46.98
2,94,73,8.9,40,2,40.98
6,88,41,4.8,37,8,26.19
5,93,58,5.1,54,7,40.58
4,94,67,8.1,44,3,46.93
1,78,98,5.7,87,5,43.12
8,61,78,8.5,47,2,44.22
4,78,93,7.5,52,10,49.18
7,68,60,5.0,94,3,30.94
5,64,67,8.2,84,4,41.12
4,65,65,5.3,48,6,39.55
9,88,94,6.4,58,7,52.64
1,80,98,7.0,66,6,44.07
8,82,98,6.8,75,6,53.13
8,90,85,7.6,92,6,59.45
4,82,70,7.4,88,9,52.75
3,85,72,9.0,94,4,51.66
1,63,99,9.0,37,9,44.96
10,94,57,6.8,49,8,41.97
10,78,61,4.9,69,10,44.61
3,66,94,7.8,37,10,46.64
1,93,63,8.9,56,8,51.04
2,90,54,5.9,44,3,40.51
1,62,74,6.6,91,8,48.43
9,67,59,6.4,38,8,39.17
9,60,94,4.7,44,3,45.31
2,71,95,7.5,46,7,51.08
8,64,58,6.1,44,3,33.49
2,89,72,8.0,69,6,39.76
4,81,100,8.2,57,8,59.82
6,100,85,8.2,90,2,57.36
8,90,53,6.4,50,4,33.85
9,85,76,5.9,67,8,43.58
1,80,77,7.9,75,5,52.09
2,62,79,8.1,73,10,44.67
3,62,41,6.7,83,1,35.07
4,85,58,8.5,47,8,51.71
10,60,92,5.1,65,9,39.19
8,61,54,8.5,83,10,40.32
4,68,58,4.9,87,2,40.83
10,96,59,5.2,72,10,47.85
5,78,50,6.9,74,4,44.69
6,89,49,4.8,87,4,46.94
5,76,61,4.7,73,4,41.42
2,67,93,4.5,92,7,48.2
10,75,40,6.5,42,7,36.11
1,63,57,8.0,56,5,40.13
2,91,43,4.7,41,1,36.33
3,67,74,7.4,40,10,43.02
3,75,55,8.2,63,3,46.76
2,100,88,5.3,48,1,49.89
1,84,75,5.2,59,6,43.24
7,78,87,8.4,61,5,46.29
10,82,78,8.2,72,7,51.4
2,92,66,6.9,92,9,49.01
3,70,92,8.2,86,1,51.77
6,86,69,4.9,58,3,53.64
10,95,97,6.3,54,6,49.47
7,83,100,7.8,82,8,57.13
8,78,75,5.7,42,7,47.95
6,65,81,7.9,67,4,46.96
5,70,55,6.8,60,7,52.05
2,98,89,7.9,46,10,49.46
9,82,80,6.6,72,5,50.26
9,72,95,6.2,54,9,43.47
1,77,56,5.5,46,8,35.89
8,83,88,5.4,74,4,49.6
1,82,68,7.9,45,3,48.04
8,88,51,5.0,76,8,44.12
9,70,50,4.9,44,3,41.87
2,86,74,5.3,61,4,43.14
5,78,59,5.3,84,3,40.69
2,98,46,8.2,48,7,57.54
6,66,66,6.3,81,3,44.84
10,66,79,9.0,79,7,46.66
1,78,59,5.1,90,10,38.86
4,80,98,7.4,45,9,44.53
10,88,87,6.5,78,10,56.73
4,76,71,6.3,92,1,44.25
2,97,97,8.4,81,5,57.1
5,79,66,8.9,46,3,45.07
6,65,48,8.4,85,10,47.22
7,64,42,5.4,41,8,29.23
4,99,97,5.5,70,4,46.35
10,65,98,7.5,65,6,50.89
6,98,85,5.8,67,7,53.22
3,71,46,7.8,66,5,42.08
10,63,57,7.0,36,5,34.25
10,72,42,7.0,65,1,43.19
5,85,43,8.2,92,5,42.32
1,77,55,7.7,61,4,39.34
6,92,74,4.6,51,9,39.2
6,85,43,4.7,95,9,48.14
2,76,100,7.2,41,8,50.83
7,86,67,6.7,64,1,48.63
9,99,56,5.7,66,9,51.99
2,76,71,6.4,64,4,57.28
8,66,88,7.9,91,5,42.28
2,76,59,8.2,60,10,40.15
8,94,42,7.0,94,9,43.78
5,68,43,6.2,39,1,30.11
1,98,91,5.7,79,4,45.62
10,84,46,6.8,71,8,42.04
2,84,78,5.9,49,6,37.75
6,72,63,7.0,48,3,42.84
2,97,87,7.5,78,6,53.35
10,61,43,4.8,73,9,38.55
8,72,94,4.5,72,3,48.37
9,77,82,5.5,38,8,46.31
5,79,67,8.5,71,8,46.0
5,79,52,7.4,94,9,56.51
7,66,99,5.3,36,3,44.2
8,69,58,8.5,63,3,34.6
9,63,69,6.6,65,6,37.61
1,83,64,6.6,89,6,37.26
7,74,54,8.7,52,5,43.32
2,83,65,4.8,64,8,40.71
3,84,49,5.5,78,8,38.95
9,88,40,7.1,38,3,49.76
3,82,57,5.4,83,8,45.46
8,86,46,7.6,85,3,49.29
5,84,65,5.5,78,5,39.71
3,86,92,4.9,74,1,42.53
4,85,49,5.4,80,4,41.6
6,72,40,6.4,82,10,40.95
8,70,46,5.3,90,5,30.71
7,92,70,5.1,61,8,44.19
10,74,56,8.4,62,2,44.63
9,82,69,5.9,73,7,44.79
8,68,41,6.1,46,4,31.38
7,77,60,4.7,87,8,39.89
3,81,65,6.1,82,10,44.21
5,85,66,5.7,73,6,45.06
2,81,73,7.2,53,2,47.44
4,74,87,5.4,56,5,49.36
10,99,68,8.5,61,2,49.8
5,81,91,8.7,75,5,50.73
